Top pages,Type,Clicks,Impressions,CTR,Position,"GSC Link
(6 เดือนล่าสุด)","Active User
(3 เดือนล่าสุด)","Engagement Time
(3 เดือนล่าสุด)","Engagement Rate
(3 เดือนล่าสุด)","GA4 Link
(3 เดือนล่าสุด)","GA4 YoY Combined Summary (YTD)
[A: Active User | T: Time on Page | E: Avg. Engagement Rate]","GA4 Link Compare
(YTD)",Incoming Links,Status
https://rwcclinic.com/vitaran/,Service,1354,42149,3.21%,4.87,View in GSC,1256,62,45.30%,View in GA4,N/A,Compare in GA4,0
https://rwcclinic.com/queefs/,Article,581,96376,0.60%,6.64,View in GSC,391,24,28.40%,View in GA4,"A:875 | T:30s | E:34%
A:2062 | T:45s | E:49%
A:-58% | T:-34% | E:-31%",Compare in GA4,0
https://rwcclinic.com/ellanse/,Service,451,6770,6.66%,3.66,View in GSC,396,65,48.70%,View in GA4,N/A,Compare in GA4,0
https://rwcclinic.com/hip-dips-problems/,Article,357,16374,2.18%,3.55,View in GSC,428,31,45.90%,View in GA4,"A:988 | T:33s | E:51%
A:970 | T:44s | E:61%
A:+2% | T:-25% | E:-16%",Compare in GA4,0
https://rwcclinic.com/filler-sleep-position/,Article,309,12376,2.50%,5.84,View in GSC,294,27,28.40%,View in GA4,N/A,Compare in GA4,0
https://rwcclinic.com/whats-your-bmi/,Article,267,399454,0.07%,4.17,View in GSC,404,34,36.80%,View in GA4,"A:969 | T:35s | E:39%
A:2202 | T:39s | E:43%
A:-56% | T:-11% | E:-11%",Compare in GA4,0
https://rwcclinic.com/,Page,262,5635,4.65%,5.16,View in GSC,336,46,79.60%,View in GA4,"A:778 | T:47s | E:78%
A:847 | T:42s | E:80%
A:-8% | T:+11% | E:-2%",Compare in GA4,116
https://rwcclinic.com/physiognomy/,Service,199,24552,0.81%,7.87,View in GSC,190,24,30.60%,View in GA4,"A:304 | T:35s | E:39%
A:235 | T:71s | E:60%
A:+29% | T:-52% | E:-35%",Compare in GA4,8
https://rwcclinic.com/barbed-grass-repair/,Article,187,12315,1.52%,4.53,View in GSC,173,35,30.50%,View in GA4,"A:425 | T:50s | E:43%
A:772 | T:97s | E:65%
A:-45% | T:-48% | E:-34%",Compare in GA4,0
https://rwcclinic.com/how-to-lose-belly-fat-2/,Article,179,46982,0.38%,3.9,View in GSC,280,45,40.70%,View in GA4,"A:716 | T:52s | E:48%
A:1227 | T:64s | E:55%
A:-42% | T:-19% | E:-14%",Compare in GA4,1
https://rwcclinic.com/fractora-rf/,Service,164,3791,4.33%,10.92,View in GSC,158,54,57.10%,View in GA4,"A:402 | T:58s | E:60%
A:621 | T:62s | E:52%
A:-35% | T:-6% | E:+15%",Compare in GA4,2
https://rwcclinic.com/vagina-filler/,Service,139,19933,0.70%,5.68,View in GSC,215,50,57.20%,View in GA4,"A:642 | T:52s | E:57%
A:960 | T:62s | E:54%
A:-33% | T:-15% | E:+6%",Compare in GA4,3
https://rwcclinic.com/ulthera-vs-thread/,Article,135,5282,2.56%,50.16,View in GSC,129,73,44.10%,View in GA4,"A:288 | T:72s | E:48%
A:639 | T:93s | E:53%
A:-55% | T:-22% | E:-11%",Compare in GA4,0
https://rwcclinic.com/karisma-rh-collagen/,Service,130,14000,0.93%,8.46,View in GSC,142,34,49.00%,View in GA4,"A:392 | T:43s | E:52%
A:792 | T:60s | E:51%
A:-51% | T:-28% | E:+3%",Compare in GA4,0
https://rwcclinic.com/dr-kanom-rwc/,Article,112,1217,9.20%,4.13,View in GSC,105,36,54.80%,View in GA4,"A:206 | T:40s | E:61%
A:279 | T:42s | E:66%
A:-26% | T:-4% | E:-7%",Compare in GA4,15
https://rwcclinic.com/fat-grafting-forbidden-foods-guide/,Article,109,4886,2.23%,7.43,View in GSC,74,93,35.30%,View in GA4,"A:195 | T:82s | E:38%
A:111 | T:74s | E:41%
A:+76% | T:+10% | E:-7%",Compare in GA4,0
https://rwcclinic.com/lose-weight-if-how-many-days-to-see-results/,Article,95,7969,1.19%,6.85,View in GSC,97,27,45.10%,View in GA4,"A:226 | T:40s | E:56%
A:666 | T:50s | E:64%
A:-66% | T:-21% | E:-12%",Compare in GA4,0
https://rwcclinic.com/therafill/,Service,95,9872,0.96%,8.88,View in GSC,101,64,53.90%,View in GA4,"A:353 | T:61s | E:51%
A:425 | T:73s | E:48%
A:-17% | T:-17% | E:+5%",Compare in GA4,0
https://rwcclinic.com/plinest-skin-treatment/,Service,88,4900,1.80%,5.99,View in GSC,99,48,48.90%,View in GA4,"A:258 | T:57s | E:51%
A:158 | T:76s | E:53%
A:+63% | T:-25% | E:-3%",Compare in GA4,0
https://rwcclinic.com/fat-injection-breast/,Service,88,5219,1.69%,14.92,View in GSC,150,83,70.60%,View in GA4,"A:325 | T:86s | E:69%
A:311 | T:104s | E:74%
A:+5% | T:-17% | E:-7%",Compare in GA4,5
